Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Product ID;Sales;Quantity;Discount;Profit
CA-2016-152156;08/11/2016;11/11/2016;Second Class;CG-12520;FUR-BO-10001798;R$ 261,96;2;0%;R$ 419.136,00
CA-2016-152156;08/11/2016;11/11/2016;Second Class;CG-12520;FUR-CH-10000454;R$ 731,94;3;0%;R$ 219.582,00
CA-2016-138688;12/06/2016;6/16/2016;Second Class;DV-13045;OFF-LA-10000240;R$ 14,62;2;0%;R$ 68.714,00
US-2015-108966;11/10/2015;10/18/2015;Standard Class;SO-20335;FUR-TA-10000577;R$ 9.575.775,00;5;45%;-R$ 383.031,00
US-2015-108966;11/10/2015;10/18/2015;Standard Class;SO-20335;OFF-ST-10000760;R$ 22.368,00;2;20%;R$ 25.164,00
CA-2014-115812;09/06/2014;6/14/2014;Standard Class;BH-11710;FUR-FU-10001487;R$ 48,86;7;0%;R$ 141.694,00
CA-2014-115812;09/06/2014;6/14/2014;Standard Class;BH-11710;OFF-AR-10002833;R$ 7,28;4;0%;R$ 19.656,00
CA-2014-115812;09/06/2014;6/14/2014;Standard Class;BH-11710;TEC-PH-10002275;R$ 907.152,00;6;20%;R$ 907.152,00
CA-2014-115812;09/06/2014;6/14/2014;Standard Class;BH-11710;OFF-BI-10003910;R$ 18.504,00;3;20%;R$ 57.825,00
CA-2014-115812;09/06/2014;6/14/2014;Standard Class;BH-11710;OFF-AP-10002892;R$ 114,90;5;0%;34.47
CA-2014-115812;09/06/2014;6/14/2014;Standard Class;BH-11710;FUR-TA-10001539;R$ 1.706.184,00;9;20%;R$ 853.092,00
CA-2014-115812;09/06/2014;6/14/2014;Standard Class;BH-11710;TEC-PH-10002033;R$ 911.424,00;4;20%;R$ 683.568,00
CA-2017-114412;15/04/2017;4/20/2017;Standard Class;AA-10480;OFF-PA-10002365;R$ 15.552,00;3;20%;R$ 54.432,00
CA-2016-161389;05/12/2016;12/10/2016;Standard Class;IM-15070;OFF-BI-10003656;R$ 407.976,00;3;20%;R$ 1.325.922,00
US-2015-118983;22/11/2015;11/26/2015;Standard Class;HP-14815;OFF-AP-10002311;R$ 68,81;5;80%;-R$ 123.858,00
US-2015-118983;22/11/2015;11/26/2015;Standard Class;HP-14815;OFF-BI-10000756;R$ 2.544,00;3;80%;-R$ 3.816,00
CA-2014-105893;11/11/2014;11/18/2014;Standard Class;PK-19075;OFF-ST-10004186;R$ 665,88;6;0%;R$ 133.176,00
CA-2014-167164;13/05/2014;5/15/2014;Second Class;AG-10270;OFF-ST-10000107;R$ 55,50;2;0%;9.99
CA-2014-143336;27/08/2014;09/01/2014;Second Class;ZD-21925;OFF-AR-10003056;R$ 8,56;2;0%;R$ 24.824,00
CA-2014-143336;27/08/2014;09/01/2014;Second Class;ZD-21925;TEC-PH-10001949;R$ 213,48;3;20%;R$ 16.011,00
CA-2014-143336;27/08/2014;09/01/2014;Second Class;ZD-21925;OFF-BI-10002215;R$ 22,72;4;20%;R$ 7.384,00
CA-2016-137330;09/12/2016;12/13/2016;Standard Class;KB-16585;OFF-AR-10000246;R$ 19,46;7;0%;R$ 50.596,00
CA-2016-137330;09/12/2016;12/13/2016;Standard Class;KB-16585;OFF-AP-10001492;R$ 60,34;7;0%;R$ 156.884,00
US-2017-156909;16/07/2017;7/18/2017;Second Class;SF-20065;FUR-CH-10002774;R$ 71.372,00;2;30%;-R$ 10.196,00
CA-2015-106320;25/09/2015;9/30/2015;Standard Class;EB-13870;FUR-TA-10000577;R$ 1.044,63;3;0%;R$ 2.402.649,00
CA-2016-121755;16/01/2016;1/20/2016;Second Class;EH-13945;OFF-BI-10001634;R$ 11.648,00;2;20%;R$ 42.224,00
CA-2016-121755;16/01/2016;1/20/2016;Second Class;EH-13945;TEC-AC-10003027;R$ 90,57;3;0%;R$ 117.741,00
US-2015-150630;17/09/2015;9/21/2015;Standard Class;TB-21520;FUR-BO-10004834;R$ 3.083,43;7;50%;-R$ 16.650.522,00
US-2015-150630;17/09/2015;9/21/2015;Standard Class;TB-21520;OFF-BI-10000474;R$ 9.618,00;2;70%;-R$ 70.532,00
US-2015-150630;17/09/2015;9/21/2015;Standard Class;TB-21520;FUR-FU-10004848;R$ 124,20;3;20%;R$ 15.525,00
US-2015-150630;17/09/2015;9/21/2015;Standard Class;TB-21520;OFF-EN-10001509;R$ 3.264,00;2;20%;R$ 11.016,00
US-2015-150630;17/09/2015;9/21/2015;Standard Class;TB-21520;OFF-AR-10004042;R$ 86.304,00;6;20%;R$ 97.092,00
US-2015-150630;17/09/2015;9/21/2015;Standard Class;TB-21520;OFF-BI-10001525;R$ 6.858,00;6;70%;-R$ 5.715,00
US-2015-150630;17/09/2015;9/21/2015;Standard Class;TB-21520;OFF-AR-10001683;R$ 15,76;2;20%;R$ 3.546,00
CA-2017-107727;19/10/2017;10/23/2017;Second Class;MA-17560;OFF-PA-10000249;R$ 29.472,00;3;20%;R$ 99.468,00
CA-2016-117590;08/12/2016;12/10/2016;First Class;GH-14485;TEC-PH-10004977;R$ 1.097.544,00;7;20%;R$ 1.234.737,00
CA-2016-117590;08/12/2016;12/10/2016;First Class;GH-14485;FUR-FU-10003664;R$ 190,92;5;60%;-R$ 147.963,00
CA-2015-117415;27/12/2015;12/31/2015;Standard Class;SN-20710;OFF-EN-10002986;R$ 113.328,00;9;20%;R$ 35.415,00
CA-2015-117415;27/12/2015;12/31/2015;Standard Class;SN-20710;FUR-BO-10002545;R$ 5.323.992,00;3;32%;-R$ 469.764,00
CA-2015-117415;27/12/2015;12/31/2015;Standard Class;SN-20710;FUR-CH-10004218;R$ 212.058,00;3;30%;-R$ 15.147,00
CA-2015-117415;27/12/2015;12/31/2015;Standard Class;SN-20710;TEC-PH-10000486;R$ 371.168,00;4;20%;R$ 417.564,00
CA-2017-120999;10/09/2017;9/15/2017;Standard Class;LC-16930;TEC-PH-10004093;R$ 147.168,00;4;20%;R$ 165.564,00
CA-2016-101343;17/07/2016;7/22/2016;Standard Class;RA-19885;OFF-ST-10003479;R$ 77,88;2;0%;R$ 3.894,00
CA-2017-139619;19/09/2017;9/23/2017;Standard Class;ES-14080;OFF-ST-10003282;R$ 95.616,00;2;20%;R$ 95.616,00
CA-2016-118255;11/03/2016;3/13/2016;First Class;ON-18715;TEC-AC-10000171;R$ 45,98;2;0%;R$ 197.714,00
CA-2016-118255;11/03/2016;3/13/2016;First Class;ON-18715;OFF-BI-10003291;R$ 17,46;2;0%;R$ 82.062,00
CA-2014-146703;20/10/2014;10/25/2014;Second Class;PO-18865;OFF-ST-10001713;R$ 211,96;4;0%;R$ 84.784,00
CA-2016-169194;20/06/2016;6/25/2016;Standard Class;LH-16900;TEC-AC-10002167;R$ 45,00;3;0%;4.95
CA-2016-169194;20/06/2016;6/25/2016;Standard Class;LH-16900;TEC-PH-10003988;R$ 21,80;2;0%;R$ 6.104,00
CA-2015-115742;18/04/2015;4/22/2015;Standard Class;DP-13000;OFF-BI-10004410;R$ 38,22;6;0%;R$ 179.634,00
CA-2015-115742;18/04/2015;4/22/2015;Standard Class;DP-13000;OFF-LA-10002762;R$ 75,18;6;0%;R$ 353.346,00
CA-2015-115742;18/04/2015;4/22/2015;Standard Class;DP-13000;FUR-FU-10001706;R$ 6,16;2;0%;R$ 29.568,00
CA-2015-115742;18/04/2015;4/22/2015;Standard Class;DP-13000;FUR-CH-10003061;R$ 89,99;1;0%;R$ 170.981,00
CA-2016-105816;11/12/2016;12/17/2016;Standard Class;JM-15265;OFF-FA-10000304;R$ 15,26;7;0%;R$ 62.566,00
CA-2016-105816;11/12/2016;12/17/2016;Standard Class;JM-15265;TEC-PH-10002447;R$ 1.029,95;5;0%;R$ 2.986.855,00
CA-2016-111682;17/06/2016;6/18/2016;First Class;TB-21055;OFF-ST-10000604;R$ 208,56;6;0%;52.14
CA-2016-111682;17/06/2016;6/18/2016;First Class;TB-21055;OFF-PA-10001569;R$ 32,40;5;0%;R$ 15.552,00
CA-2016-111682;17/06/2016;6/18/2016;First Class;TB-21055;FUR-CH-10003968;R$ 319,41;5;10%;R$ 7.098,00
CA-2016-111682;17/06/2016;6/18/2016;First Class;TB-21055;OFF-PA-10000587;R$ 14,56;2;0%;R$ 69.888,00
CA-2016-111682;17/06/2016;6/18/2016;First Class;TB-21055;TEC-AC-10002167;R$ 30,00;2;0%;3.3
CA-2016-111682;17/06/2016;6/18/2016;First Class;TB-21055;OFF-BI-10001460;R$ 48,48;4;20%;R$ 16.362,00
CA-2016-111682;17/06/2016;6/18/2016;First Class;TB-21055;OFF-AR-10001868;R$ 1,68;1;0%;0.84
CA-2015-135545;24/11/2015;11/30/2015;Standard Class;KM-16720;TEC-AC-10004633;R$ 13,98;2;0%;R$ 61.512,00
CA-2015-135545;24/11/2015;11/30/2015;Standard Class;KM-16720;OFF-BI-10001078;R$ 25.824,00;6;20%;R$ 93.612,00
CA-2015-135545;24/11/2015;11/30/2015;Standard Class;KM-16720;OFF-PA-10003892;R$ 146,73;3;0%;R$ 689.631,00
CA-2015-135545;24/11/2015;11/30/2015;Standard Class;KM-16720;FUR-FU-10000397;R$ 79,76;4;0%;R$ 223.328,00
US-2015-164175;30/04/2015;05/05/2015;Standard Class;PS-18970;FUR-CH-10001146;R$ 213.115,00;5;30%;-R$ 152.225,00
CA-2014-106376;05/12/2014;12/10/2014;Standard Class;BS-11590;OFF-AR-10002671;R$ 1.113.024,00;8;20%;R$ 1.113.024,00
CA-2014-106376;05/12/2014;12/10/2014;Standard Class;BS-11590;TEC-PH-10002726;R$ 167.968,00;4;20%;R$ 62.988,00
CA-2016-119823;04/06/2016;06/06/2016;First Class;KD-16270;OFF-PA-10000482;R$ 75,88;2;0%;R$ 356.636,00
CA-2016-106075;18/09/2016;9/23/2016;Standard Class;HM-14980;OFF-BI-10004654;R$ 4.616,00;1;20%;R$ 1.731,00
CA-2017-114440;14/09/2017;9/17/2017;Second Class;TB-21520;OFF-PA-10004675;R$ 19,05;3;0%;R$ 8.763,00
US-2015-134026;26/04/2015;05/02/2015;Standard Class;JE-15745;FUR-CH-10000513;R$ 831.936,00;8;20%;-R$ 1.143.912,00
US-2015-134026;26/04/2015;05/02/2015;Standard Class;JE-15745;FUR-FU-10003708;R$ 97,04;2;20%;R$ 1.213,00
US-2015-134026;26/04/2015;05/02/2015;Standard Class;JE-15745;OFF-ST-10004123;R$ 72.784,00;1;20%;-R$ 18.196,00
US-2017-118038;09/12/2017;12/11/2017;First Class;KB-16600;OFF-BI-10004182;R$ 1.248,00;3;80%;-R$ 19.344,00
